Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
Brazil	"4,817.19"	"4,930.73"	"5,152.98"	"5,062.88"	"5,408.60"	"5,897.10"	"6,341.15"	"6,603.72"	"6,729.60"	"7,091.07"	"6,843.68"	"7,028.21"	"7,039.03"	"7,422.49"	"7,860.57"	"8,250.94"	"8,342.75"	"8,639.16"	"8,631.41"	"8,665.36"	"9,114.22"	"9,312.63"	"9,623.74"	"9,793.10"	"10,510.55"	"11,056.42"	"11,711.22"	"12,622.46"	"13,383.88"	"13,331.38"	"14,359.92"	"15,109.72"	"15,120.06"	"15,669.16"	"15,800.05"	"14,816.27"	"14,326.07"	"14,592.08"	"15,016.54"	"15,336.84"	"14,562.83"	"15,207.68"	"15,733.61"	"16,282.00"	"16,866.08"	"17,486.09"
																																														
India	532.628	603.841	648.165	706.068	742.259	787.96	823.719	858.606	953.769	"1,028.18"	"1,102.56"	"1,128.63"	"1,193.49"	"1,254.84"	"1,340.66"	"1,444.47"	"1,552.27"	"1,612.56"	"1,699.99"	"1,837.02"	"1,918.51"	"2,022.26"	"2,098.76"	"2,269.76"	"2,473.54"	"2,743.71"	"3,041.24"	"3,377.67"	"3,525.32"	"3,799.45"	"4,181.24"	"4,493.67"	"4,861.15"	"5,057.22"	"5,233.87"	"5,464.86"	"5,839.90"	"6,185.99"	"6,652.80"	"6,977.36"	"6,283.57"	"6,917.76"	"7,527.70"	"8,167.98"	"8,854.13"	"9,589.17"
																																														
Indonesia	"1,287.67"	"1,487.29"	"1,583.36"	"1,681.13"	"1,837.40"	"1,931.37"	"2,070.95"	"2,217.80"	"2,408.64"	"2,677.55"	"2,969.12"	"3,289.05"	"3,524.98"	"3,832.03"	"4,140.29"	"4,499.95"	"4,884.19"	"5,142.52"	"4,466.18"	"4,514.37"	"4,789.74"	"5,001.80"	"5,234.89"	"5,508.44"	"5,857.78"	"6,294.32"	"6,745.34"	"7,262.47"	"7,842.84"	"8,157.86"	"8,655.82"	"9,213.21"	"9,833.69"	"10,188.33"	"10,398.96"	"10,359.28"	"10,618.70"	"11,073.52"	"11,798.92"	"12,483.04"	"12,345.13"	"13,258.84"	"14,074.21"	"14,935.23"	"15,847.25"	"16,827.48"
																																														
Malaysia	"3,341.49"	"3,817.22"	"4,186.97"	"4,510.59"	"4,913.43"	"4,867.43"	"4,888.58"	"5,145.30"	"5,714.37"	"6,323.37"	"6,853.70"	"7,644.89"	"8,281.61"	"9,062.96"	"9,837.99"	"10,743.51"	"11,727.81"	"12,482.65"	"11,398.81"	"11,963.81"	"12,960.58"	"12,966.52"	"13,542.85"	"14,251.14"	"15,274.48"	"16,176.88"	"17,364.62"	"18,766.51"	"19,692.64"	"19,206.97"	"20,523.28"	"21,701.74"	"22,963.30"	"23,224.57"	"24,273.00"	"24,074.09"	"24,779.86"	"25,897.24"	"27,475.37"	"28,990.93"	"27,287.38"	"29,686.43"	"31,626.88"	"33,616.28"	"35,642.28"	"37,715.37"
																																														
Mexico	"5,973.76"	"6,928.10"	"7,147.83"	"7,006.05"	"7,340.54"	"7,572.29"	"7,331.01"	"7,487.26"	"7,696.38"	"8,166.77"	"8,743.81"	"9,247.63"	"9,617.59"	"9,938.04"	"10,470.89"	"9,853.19"	"10,542.57"	"11,281.34"	"11,816.92"	"12,137.14"	"12,835.41"	"12,881.74"	"12,901.96"	"13,151.04"	"13,842.01"	"14,397.26"	"15,275.66"	"15,808.79"	"16,058.62"	"15,101.10"	"15,829.67"	"16,520.26"	"17,162.93"	"17,373.90"	"18,056.79"	"18,305.24"	"19,324.77"	"19,815.99"	"20,506.31"	"20,583.06"	"18,804.46"	"19,695.23"	"20,295.51"	"20,905.98"	"21,551.85"	"22,237.74"
																																														
Pakistan	873.965	986.853	"1,094.69"	"1,180.86"	"1,237.53"	"1,350.85"	"1,427.10"	"1,507.33"	"1,618.55"	"1,718.71"	"1,812.38"	"1,927.07"	"2,034.14"	"2,072.09"	"2,153.62"	"2,253.41"	"2,386.95"	"2,410.97"	"2,464.35"	"2,545.03"	"2,643.64"	"2,681.76"	"2,753.83"	"2,865.86"	"3,101.93"	"3,419.28"	"3,659.59"	"3,895.75"	"4,005.28"	"3,965.60"	"4,030.26"	"4,176.49"	"4,206.75"	"4,299.92"	"4,446.14"	"4,593.13"	"4,639.47"	"4,817.92"	"5,110.76"	"5,203.81"	"5,160.19"	"5,229.93"	"5,436.36"	"5,678.79"	"5,964.59"	"6,269.23"
																																														
South Africa	"4,642.23"	"5,219.22"	"5,379.79"	"5,347.49"	"5,678.34"	"5,651.86"	"5,638.44"	"5,774.31"	"6,098.07"	"6,350.02"	"6,420.37"	"6,413.04"	"6,259.59"	"6,328.13"	"6,517.64"	"6,717.54"	"7,003.30"	"7,191.66"	"7,199.52"	"7,365.84"	"7,726.31"	"7,965.56"	"8,274.19"	"8,592.78"	"9,127.72"	"9,794.84"	"10,527.84"	"11,240.98"	"11,657.63"	"11,394.22"	"11,695.97"	"12,143.17"	"12,035.40"	"12,436.19"	"12,514.29"	"12,547.66"	"12,581.66"	"12,681.72"	"12,898.43"	"12,961.70"	"11,911.45"	"12,351.45"	"12,573.02"	"12,799.79"	"13,123.44"	"13,487.68"
																																														
Sri Lanka	"1,051.41"	"1,196.25"	"1,320.02"	"1,400.83"	"1,532.51"	"1,643.19"	"1,730.90"	"1,781.73"	"1,875.52"	"1,973.00"	"2,151.33"	"2,435.25"	"2,385.33"	"2,596.90"	"2,838.61"	"3,048.44"	"3,458.12"	"3,857.84"	"3,817.60"	"3,963.23"	"4,366.49"	"4,345.00"	"4,543.10"	"4,862.55"	"5,222.62"	"5,676.88"	"6,250.57"	"6,806.07"	"7,301.52"	"7,568.50"	"8,219.98"	"9,044.75"	"10,315.18"	"10,852.06"	"11,260.65"	"11,559.69"	"12,224.22"	"12,584.10"	"13,173.48"	"13,631.18"	"13,113.61"	"14,023.38"	"14,889.54"	"15,767.08"	"16,714.34"	"17,747.94"
																																														
Thailand	"1,577.87"	"1,793.20"	"1,968.06"	"2,119.77"	"2,280.90"	"2,418.18"	"2,556.54"	"2,817.78"	"3,247.85"	"3,726.95"	"4,255.84"	"4,713.29"	"5,212.95"	"5,747.05"	"6,281.29"	"6,864.72"	"7,304.12"	"7,140.41"	"6,589.59"	"6,910.33"	"7,302.91"	"7,648.85"	"8,179.41"	"8,863.75"	"9,608.55"	"10,256.31"	"11,024.84"	"11,869.69"	"12,244.81"	"12,191.41"	"13,195.36"	"13,519.13"	"14,870.98"	"15,407.67"	"15,480.21"	"15,822.35"	"16,618.77"	"17,420.58"	"18,520.78"	"19,240.68"	"18,072.85"	"19,169.78"	"20,339.95"	"21,560.84"	"22,888.30"	"24,172.05"
																																														
Turkey	"3,521.40"	"3,932.28"	"4,221.12"	"4,492.82"	"4,864.98"	"5,123.97"	"5,479.04"	"6,059.98"	"6,289.50"	"6,436.55"	"7,169.71"	"7,355.50"	"7,843.09"	"8,535.78"	"8,112.94"	"8,742.06"	"9,382.25"	"10,110.67"	"10,391.82"	"10,049.43"	"10,831.69"	"10,293.83"	"10,997.02"	"11,708.29"	"13,041.57"	"14,476.05"	"15,751.50"	"16,784.38"	"17,025.72"	"16,093.16"	"17,374.44"	"19,459.77"	"20,504.43"	"22,221.39"	"23,945.52"	"25,691.07"	"26,513.62"	"28,242.49"	"29,343.15"	"29,723.53"	"28,293.60"	"30,003.97"	"31,393.24"	"32,708.50"	"34,128.64"	"35,623.15"
																																														
Argentina	1.294	1.199	1.159	1.174	1.147	1.031	1.067	1.054	0.989	0.887	0.841	0.907	0.901	0.938	0.964	0.904	0.919	0.955	0.965	0.901	0.853	0.796	0.69	0.722	0.747	0.776	0.796	0.823	0.833	0.787	0.823	0.838	0.819	0.81	0.771	0.78	0.768	0.855	0.806	0.768	0.71	0.709	0.698	0.688	0.678	0.666
																																														
Brazil	4.279	4.022	4.038	3.807	3.842	4.005	4.161	4.152	3.983	3.965	3.651	3.601	3.227	3.312	3.388	3.412	3.359	3.339	3.26	3.167	3.154	3.123	3.128	3.04	3.054	3.007	2.968	2.988	3.052	3.06	3.126	3.122	2.998	2.986	2.927	2.713	2.548	2.483	2.432	2.395	2.365	2.314	2.273	2.239	2.209	2.182
																																														
India	2.789	2.907	3.002	3.144	3.127	3.18	3.219	3.223	3.381	3.456	3.504	3.457	3.283	3.372	3.492	3.624	3.754	3.756	3.881	4.069	4.037	4.137	4.178	4.334	4.44	4.63	4.803	5.005	5.054	5.503	5.764	5.904	6.151	6.172	6.228	6.443	6.706	6.814	6.991	7.092	6.668	6.905	7.159	7.424	7.698	7.974
																																														
Indonesia	1.423	1.506	1.536	1.562	1.61	1.616	1.674	1.718	1.759	1.851	1.938	2.061	1.977	2.092	2.185	2.281	2.369	2.385	2.016	1.964	1.968	1.991	2.023	2.036	2.032	2.049	2.052	2.071	2.163	2.274	2.297	2.343	2.413	2.415	2.408	2.383	2.38	2.382	2.422	2.476	2.557	2.582	2.61	2.646	2.683	2.725
																																														
Malaysia	0.348	0.366	0.386	0.401	0.414	0.396	0.387	0.393	0.414	0.435	0.456	0.487	0.478	0.515	0.546	0.578	0.613	0.632	0.57	0.585	0.606	0.595	0.61	0.62	0.629	0.63	0.631	0.637	0.649	0.642	0.655	0.663	0.677	0.669	0.685	0.676	0.68	0.682	0.691	0.702	0.692	0.71	0.722	0.735	0.748	0.759
																																														
Mexico	3.033	3.236	3.213	3.026	2.999	2.961	2.772	2.716	2.632	2.643	2.671	2.718	2.534	2.552	2.601	2.351	2.417	2.484	2.542	2.525	2.528	2.459	2.389	2.329	2.299	2.244	2.226	2.161	2.125	2.02	2.017	2.008	2.012	1.967	1.996	2.007	2.066	2.035	2.01	1.952	1.862	1.835	1.802	1.773	1.748	1.725
																																														
Pakistan	0.526	0.55	0.59	0.615	0.613	0.643	0.661	0.674	0.686	0.694	0.697	0.716	0.693	0.694	0.703	0.713	0.732	0.715	0.72	0.726	0.719	0.716	0.718	0.722	0.738	0.767	0.77	0.772	0.787	0.793	0.773	0.769	0.752	0.748	0.76	0.785	0.779	0.782	0.798	0.792	0.827	0.795	0.794	0.8	0.81	0.823
																																														
South Africa	1.011	1.048	1.042	0.998	1.005	0.959	0.927	0.911	0.909	0.898	0.86	0.831	0.732	0.726	0.728	0.724	0.728	0.718	0.703	0.695	0.691	0.693	0.698	0.691	0.686	0.689	0.691	0.691	0.693	0.685	0.67	0.665	0.637	0.637	0.627	0.626	0.614	0.596	0.581	0.566	0.546	0.535	0.522	0.51	0.503	0.498
																																														
Sri Lanka	0.123	0.127	0.133	0.134	0.137	0.139	0.14	0.137	0.135	0.133	0.136	0.147	0.128	0.135	0.142	0.145	0.156	0.166	0.159	0.158	0.163	0.156	0.158	0.161	0.161	0.163	0.167	0.169	0.174	0.181	0.185	0.193	0.211	0.213	0.215	0.218	0.225	0.222	0.222	0.221	0.221	0.221	0.223	0.225	0.227	0.23
																																														
Thailand	0.56	0.583	0.613	0.632	0.64	0.647	0.66	0.696	0.755	0.817	0.876	0.927	0.912	0.971	1.019	1.063	1.081	1.011	0.909	0.919	0.916	0.925	0.954	0.983	0.992	0.987	0.983	0.984	0.973	0.97	0.99	0.959	1.008	1	0.973	0.978	0.994	0.992	0.999	0.996	0.969	0.959	0.962	0.966	0.973	0.975
																																														
Turkey	1.194	1.226	1.265	1.293	1.324	1.334	1.378	1.46	1.427	1.38	1.448	1.427	1.362	1.443	1.324	1.37	1.411	1.459	1.464	1.368	1.396	1.285	1.33	1.351	1.409	1.466	1.488	1.484	1.454	1.389	1.431	1.528	1.55	1.623	1.709	1.82	1.835	1.878	1.869	1.837	1.829	1.828	1.826	1.821	1.82	1.82
																																														
Argentina	20.346	18.197	17.618	16.797	15.94	13.95	13.977	15.698	15.063	12.465	11.354	11.895	13.431	17.301	17.509	16.399	17.403	18.415	18.551	15.557	15.337	13.64	9.965	12.877	17.551	18.888	18.68	20.099	19.573	16.053	17.706	18.398	16.502	17.306	17.263	17.071	17.663	18.213	19.709	17.395	17.319	18.502	18.743	18.878	19.034	19.324
																																														
Brazil	21.333	21.112	19.299	15.277	14.41	17.538	17.463	20.401	20.806	22.646	18.451	19.936	19.079	21.019	23.559	17.292	17.267	17.764	18.165	17.39	18.903	18.742	17.449	16.857	17.913	17.205	17.816	19.819	21.619	18.796	21.801	21.826	21.417	21.694	20.548	17.412	14.97	14.63	14.829	15.113	14.653	14.989	15.241	15.584	16	16.459
																																														
India	19.169	18.943	19.081	18.232	19.126	20.602	20.08	21.871	22.842	23.71	26.032	21.8	23.038	22.189	24.729	25.274	23.683	25.572	24.206	26.634	24.263	24.244	24.75	26.831	32.818	34.65	35.659	38.114	34.305	36.48	36.502	39.59	38.348	34.024	34.268	32.117	30.172	30.819	31.699	29.668	27.771	29.217	30.081	30.537	30.908	31.319
																																														
Indonesia	31.932	38.668	37.316	39.096	34.822	36.81	36.384	39.659	39.706	44.364	42.499	43.875	40.517	29.92	31.497	32.399	31.621	32.227	19.227	13.64	25.087	25.315	24.215	28.089	27.358	28.579	28.986	28.736	32.998	31.173	32.88	32.984	35.072	33.831	34.6	34.063	33.859	33.711	34.559	33.766	32.976	33.393	33.469	33.623	33.827	34.035
																																														
Malaysia	34.783	40.036	42.372	41.023	35.735	29.813	27.84	24.755	27.547	30.402	35.338	37.843	36.003	39.613	41.386	43.523	41.964	43.377	29.539	25.658	29.397	26.838	27.24	25.532	25.85	23.122	23.425	23.966	22.265	18.407	23.657	23.456	25.951	26.108	25.158	25.424	25.996	25.547	23.908	21.043	21.581	22.361	22.562	22.769	22.863	23.102
																																														
Mexico	30.845	31.066	27.297	24.184	23.728	25.027	22.137	23.82	23.134	23.275	23.502	23.747	23.779	23.021	24.923	20.966	21.572	22.597	23.693	22.579	22.958	20.835	20.706	21.096	22.118	21.644	22.823	23.119	24.107	22.889	22.793	23.281	23.887	22.493	21.872	23.313	23.621	22.905	22.721	21.353	19.26	20.453	21.361	21.598	21.365	21.054
																																														
Pakistan	20.003	18.484	18.874	18.466	17.951	17.966	18.516	18.965	17.849	18.788	18.935	19.026	20.237	20.821	19.546	18.546	18.997	17.919	17.711	15.565	17.227	16.996	16.583	16.758	16.578	19.081	19.332	18.787	19.206	17.549	15.805	14.121	15.076	14.957	14.635	15.707	15.686	16.151	17.342	15.611	15.407	13.79	14.509	15.407	16.057	16.997
																																														
South Africa	31.356	34.115	26.529	27.173	25.543	22.05	21.021	17.784	21.228	22.746	19.413	19.025	16.769	15.162	17.72	19.167	18.04	17.715	17.992	17.035	16.365	15.745	16.278	17.106	18.467	18.315	20.183	20.986	23.15	20.705	19.513	19.721	19.966	21.164	20.499	20.918	19.161	18.806	17.94	17.589	13.228	13.488	13.831	13.965	14.321	14.855
																																														
Sri Lanka	44.622	27.353	29.016	24.382	23.571	22.084	21.501	21.203	22.089	20.572	25.938	25.902	31.543	30.025	31.499	30.518	30.116	26.923	27.36	28.445	29.277	23.282	23.895	23.197	26.336	28.026	30.207	30.213	29.698	28.411	30.352	33.364	39.056	33.249	32.31	31.181	27.852	31.595	30.435	27.388	24.393	29.096	30.22	30.225	30.144	30.024
																																														
Thailand	26.513	26.352	23.235	25.998	25.017	28.35	26.002	28.009	32.687	35.231	41.539	42.064	39.701	39.656	40.908	42.863	42.533	34.275	20.071	20.173	22.283	23.112	22.744	23.829	25.681	30.421	27.012	25.496	28.226	20.636	25.357	26.791	28.024	27.457	23.919	22.356	21.102	22.929	25.187	23.95	24.019	23.405	23.376	23.728	23.926	24.048
																																														
Turkey	26.728	25.667	23.125	19.628	18.4	19.998	23.907	24.91	24.859	23.059	24.134	22.959	23.53	26.201	21.415	24.048	22.615	23.013	23.878	21.339	23.718	18.025	21.108	22.309	24.982	26.804	29.349	28.601	28.739	22.816	26.753	31.003	28.073	29.619	28.967	28.199	28.02	30.694	29.283	24.799	28.174	27.769	28.342	28.042	28.067	28.103
																																														
Argentina	20.748	18.216	17.345	16.96	16.305	17.241	16.215	14.533	15.567	15.071	15.472	12.889	12.41	13.999	13.989	17.662	15.051	14.662	14.17	11.742	12.459	12.325	17.631	18.474	19.35	21.362	21.471	22.199	21.065	18.22	17.323	17.386	16.133	15.159	15.634	14.328	14.95	13.379	14.484	16.496	17.996	19.731	19.825	19.736	19.694	19.986
																																														
Brazil	18.34	18.962	15.629	13.544	14.429	18.378	17.352	22.278	24.535	25.521	19.763	19.838	20.943	21.151	21.826	14.865	14.466	14.273	14.243	13.075	15.12	14.506	15.861	17.53	19.608	18.724	18.993	19.849	19.813	17.223	18.224	18.908	18.016	18.466	16.419	14.385	13.621	13.903	12.626	12.344	14.922	15.005	15.197	15.335	15.537	15.739
																																														
India	15.874	15.898	15.991	15.461	16.626	18.569	18.279	20.164	20.455	21.731	23.086	21.375	21.362	21.781	23.717	23.666	22.558	24.272	23.264	25.628	23.703	24.932	25.961	29.109	32.476	33.463	34.651	36.843	32.025	33.665	33.701	35.402	33.541	32.286	32.954	31.067	29.547	28.984	29.591	28.812	28.099	28.286	28.504	28.574	28.519	28.819
																																														
Indonesia	20.394	22.214	16.901	16.122	17.822	19.32	16.765	20.583	20.915	25.582	23.082	23.943	22.783	23.307	24.434	23.905	22.992	24.959	17.022	12.485	24.905	24.677	23.355	26.71	23.999	23.574	25.762	24.358	33.02	33.013	33.582	33.173	32.415	30.656	31.513	32.028	32.04	32.116	31.621	31.05	31.676	30.99	31.184	31.582	31.91	32.207
																																														
Malaysia	29.354	29.012	29.254	28.898	28.31	23.445	23.379	28.847	28.578	26.545	28.217	26.786	29.041	31.752	30.891	34.589	37.901	37.936	41.661	40.279	37.706	34.048	34.546	36.303	36.949	36.886	38.787	38.629	38.559	33.236	33.597	34.197	31.045	29.543	29.485	28.411	28.389	28.338	26.139	24.409	22.54	24.135	24.42	24.426	24.074	23.846
																																														
Mexico	23.297	22.528	21.601	25.423	23.277	22.961	18.579	23.847	19.286	18.423	18.365	16.866	14.928	16.199	16.793	20.516	20.952	21.058	20.65	20.242	20.306	18.521	18.98	20.332	21.403	20.767	22.459	22.179	22.593	22.023	22.333	22.272	22.334	20.02	19.937	20.661	21.361	21.137	20.642	21.007	20.52	20.378	20.457	20.113	19.585	19.092
																																														
Pakistan	15.441	15.046	14.695	16.611	14.895	13.391	15.222	16.738	14.156	14.754	16.299	16.126	18.561	15.837	17.097	15.81	13.956	13.508	15.613	13.152	16.957	17.415	20.203	21.283	18.294	17.779	15.697	14.274	11.031	12.008	13.572	14.221	12.988	13.875	13.352	14.704	13.936	12.007	10.987	10.745	14.278	11.293	11.989	12.771	13.367	14.336
																																														
South Africa	35.318	28.097	22.165	26.711	23.121	25.977	25.128	23.548	23.924	24.274	20.75	20.167	18.228	17.23	17.731	17.563	16.919	16.26	16.272	16.537	16.239	16.019	17.18	16.28	15.701	15.186	15.706	15.602	17.613	17.977	18.012	17.503	14.835	15.377	15.429	16.3	16.291	16.266	14.392	14.572	11.606	11.703	12.045	11.983	11.997	12.42
																																														
Sri Lanka	26.356	13.22	13.519	15.305	21.615	15.012	12.958	13.822	12.965	12.579	21.957	19.921	26.583	24.918	24.383	23.788	24.626	23.954	25.447	24.821	23.773	22.318	22.691	22.857	23.595	25.859	25.573	26.431	21.362	27.964	28.457	26.294	33.238	29.831	29.803	28.846	25.737	28.953	27.274	25.236	20.764	25.857	27.657	27.789	27.79	27.627
																																														
Thailand	17.722	18.292	19.733	18.171	19.238	23.516	25.6	26.281	28.952	30.599	41.539	34.772	34.433	34.903	35.59	35.045	34.692	32.204	32.644	30.015	30.051	27.959	26.578	27.116	27.792	26.384	28.055	31.423	28.546	28.513	28.724	29.334	26.792	25.356	26.777	29.272	31.607	32.56	30.807	31.007	28.187	28.012	27.759	28.069	28.159	28.009
																																														
Turkey	22.687	22.919	21.239	16.571	15.887	18.054	21.506	23.126	24.948	22.669	21.819	21.841	22.033	21.893	20.541	20.595	20.451	20.761	25.593	21.69	21.268	21.323	22.305	20.672	22.306	23.645	24.614	23.922	24.627	21.968	21.813	23.01	23.361	23.896	24.881	25.201	25.002	26.04	27.725	26.079	24.058	25.858	26.382	25.927	25.755	25.704
																																														
Argentina	41.493	-8.239	-42.58	-6.924	4.705	-13.038	18.523	11.422	-9.204	-16.419	-0.69	75.576	66.462	13.423	26.7	-11.484	19.483	30.046	9.881	-15.955	-2.407	-16.629	-53.553	48.933	51.165	18.375	12.966	22.202	14.597	-23.858	39.414	21.578	-5.952	3.548	-10.842	2.644	3.568	14.235	-5.591	-21.107	-12.447	23.968	5.43	5.45	4.207	4.068
																																														
Brazil	16.475	-2.592	-3.237	-19.213	-10.404	-1.672	2.492	-3.209	-3.342	19.965	9.298	0.46	-4	27.209	23.286	32.924	6.933	21.235	3.756	-16.482	14.122	3.672	-11.972	-3.085	14.033	9.752	15.044	21.196	14.442	-10.969	34.532	8.474	-0.341	8.41	-0.113	-13.46	-8.118	7.013	5.885	3.508	-12.066	12.535	3.502	4.918	4.151	4.862
																																														
India	13.355	10.338	7.437	4.566	0.094	7.484	3.415	2.058	10.737	1.901	5.637	-18.192	26.22	0.819	27.351	17.507	6.857	13.876	4.603	6.551	2.189	-0.893	12.442	8.524	35.838	16.656	11.519	18.802	3.294	5.941	16.111	10.652	1.733	-3.388	6.033	0.788	4.22	13.503	4.339	-4.347	-17.445	17.082	11	9.699	9	9
																																														
Indonesia	9.3	38.7	1.2	3.6	-10.5	2.1	-4.9	24.4	-17.734	14.4	27.6	14.9	6.1	4.7	15.5	20.27	9.434	0.674	-12.5	-24.103	25.495	-10.088	2.913	3.979	14.761	23.911	-2.553	7.801	17.766	-17.408	17.849	18.097	15.851	1.174	-0.031	-7.351	1.263	10.361	14.135	-9.118	-14.95	23.484	4.556	6.406	7.604	7.952
																																														
Malaysia	15.331	-0.453	9.372	10.207	4.871	-16.25	-6.469	8.474	24.517	29.12	21.7	22.594	5.708	15.957	26.158	24.842	5.211	6.238	-19.084	12.659	22.57	-6.847	4.46	2.756	19.281	6.03	14.411	3.32	-3.899	-21.902	12.117	5.6	-0.607	1.826	3.801	1.693	1.55	8.464	4.381	-2.289	-8.569	8.282	5.745	4.489	4.073	3.466
																																														
Mexico	33.9	18.868	-35.687	-36.991	18.457	12.37	-7.596	3.625	36.702	18.438	19.498	15.283	19.864	16.033	18.096	-15.942	17.478	23.113	14.804	11.513	20.297	-0.841	1.208	2.511	6.483	5.379	8.686	4.826	3.281	-15.949	17.055	5.618	5.417	2.118	5.921	5.922	2.853	6.36	5.864	-0.936	-15.299	21.023	6.878	4.3	2.822	2.121
																																														
Pakistan	1.753	-8.617	4.966	9.255	7.278	8.82	-2.369	1.916	-3.383	8.301	-3.5	5.257	7.439	13.122	-9.571	7.108	17.187	-6.782	-6.747	-1.765	-7.145	4.239	-1.133	10.819	13.843	33.093	20.773	3.041	13.072	-10.542	-4.672	5.219	2.999	1.682	3.06	11.481	12.634	15.307	10.144	-10.961	-12.01	9.39	5.453	6.217	6.401	5.489
																																														
South Africa	18.774	13.736	-17.367	-16.092	19.799	-14.036	-2.452	3.494	21.91	0.317	-5.837	2.143	5.347	7.018	16.093	16.79	8.711	5.385	2.014	-8.362	5.338	0.25	5.341	8.084	15.509	10.879	18.261	9.366	2.809	-17.66	10.794	11.912	4.22	5.014	-0.564	5.443	-3.861	0.97	3.296	-0.486	-15.14	10.98	8.226	2.763	3.702	4.154
																																														
Sri Lanka	16.562	-10.227	0	10.127	3.448	11.111	1	--	-4.95	-6.25	5.6	13.2	15.7	17.1	12.2	2.662	0.338	12.36	8.5	0.184	12.971	4.971	-11.833	9.876	20.171	-4.141	7.62	-1.846	8.837	-27.574	16.52	35.261	-18.905	1.923	11.954	15.394	7.054	3.396	0.429	-8.546	-13.274	24.102	10.777	5.016	4.657	4.485
																																														
Thailand	2.834	5.442	-12.922	23.6	1.021	-8.187	4.958	27.063	32.747	21.581	23.682	12.95	8.968	11.778	15.749	19.968	-0.605	-11.298	-21.647	10.489	27.118	-5.496	6.221	11.096	20.305	16.19	2.943	4.2	11.399	-20.772	22.956	12.4	5.629	1.681	-5.298	0.004	-0.992	6.227	8.274	-3.155	-19.4	7.561	4.976	4.568	4.448	4.496
																																														
Turkey	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-5.296	5.257	52.884	-1.654	6.768	34.726	-20.403	27.616	20.573	21.112	0.88	-2.551	27.075	-24.659	17.401	17.834	20.87	12.216	7.498	13.27	-0.608	-11.834	17.446	11.404	1.313	9.351	0.162	1.512	4.899	8.598	-8.577	-4.227	-6.396	6.029	6.641	14.308	8.201	7.122
																																														
Argentina	43.237	5.204	3.947	2.582	-2.591	15.554	-9.975	-3.519	18.728	7.472	16.833	-5.105	2.105	2.385	17.375	25.559	6.395	15.133	12.705	-2.148	1.867	6.132	0.238	5.016	0.003	11.55	4.559	5.96	-0.951	-10.783	13.702	2.292	-5.837	-3.688	-7.786	-1.633	6.807	-0.132	-0.264	12.155	-11.766	7.401	4.771	5.06	5.012	4.293
																																														
Brazil	13.899	13.683	-10.607	11.313	26.432	-3.243	-16.745	7.204	22.602	1.367	-12.285	0.298	11.994	7.078	10.409	10.063	2.538	12.394	5.957	7.23	13.306	8.383	8.564	14.237	17.802	9.771	3.933	6.261	-1.919	-8.69	7.124	2.332	1.095	2.738	-0.277	8.092	3.608	5.424	3.525	-1.592	-0.018	7.818	5.142	4.428	3.903	3.793
																																														
India	7.258	9.051	8.061	6.555	4.13	-1.967	0.369	5.437	5.852	9.721	3.979	3.527	11.062	8.332	12.514	13.302	5.514	14.03	11.358	7.981	11.398	2.413	17.719	16.239	27.035	17.917	15.98	18.479	7.219	-5.268	27.648	12.856	-0.021	4.717	3.891	-5.184	6.758	10.07	4.885	-2.121	-10.948	12.04	7.741	7.741	7.742	7.742
																																														
Indonesia	6.3	-24.8	-25	12	15.2	-4.8	14.8	-5.9	26.3	11	1.4	14.7	12.5	4.6	11.4	8.2	0.9	13.4	15.2	-25.711	17.851	-7.354	-1.17	0.467	5.577	12.462	4.084	0.116	11.311	-5.796	7.595	14.12	2.101	1.929	-0.637	-3.905	-0.609	12.573	6.181	-6.254	-10.609	18.405	5.077	8.312	9.595	9.888
																																														
Malaysia	4.956	-9.582	9.886	17.309	12.141	-2.72	11.787	14.557	11.803	18.112	16.9	14.362	12.547	11.81	21.518	18.552	8.995	5.279	-0.261	13.664	13.278	-2.658	7.241	7.407	21.797	5.778	6.907	-3.852	-7.3	-10.467	3.622	6.257	-6.492	0.074	6.502	4.05	3.89	7.26	3.789	-0.265	-11.071	9.732	5.964	4.258	3.334	2.682
																																														
Mexico	-5.4	11.34	22.636	14.187	5.837	-4.463	4.557	9.472	5.674	5.76	5.079	5.111	4.953	9.268	8.795	20.198	15.448	9.385	7.396	5.43	11.567	-0.521	0.396	1.907	9.87	6.315	7.811	1.974	-1.017	-10.855	22.362	7.713	6.525	1.371	6.982	8.414	3.582	4.162	5.941	1.438	-10.106	13.557	3.105	3.138	2.44	1.887
																																														
Pakistan	19.199	-0.798	11.153	10.014	-3.819	-0.496	32.918	12.383	-4.674	13.835	10.1	15.633	12	3.842	-3.65	9.112	0.239	-2.549	7.436	-5.947	10.132	9.17	15.491	16.834	1.386	12.25	8.318	2.156	-1.894	-2.405	5.203	10.034	-5.412	10.799	-3.265	2.51	-2.472	-0.594	6.205	-5.394	-2.476	10.259	6.737	6.091	7.48	6.923
																																														
