Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
Indonesia	99.296	110.848	113.799	103.149	107.218	107.062	101.22	95.214	107.279	122.582	138.258	154.558	168.28	190.913	213.727	244.227	274.722	260.68	115.323	169.158	179.482	174.507	212.807	255.428	279.556	310.815	396.293	470.144	558.582	577.539	755.256	892.59	919.002	916.646	891.051	860.741	932.066	"1,015.49"	"1,042.68"	"1,120.14"	"1,088.77"	"1,167.18"	"1,252.60"	"1,341.11"	"1,433.99"	"1,533.41"
																																														
Malaysia	26.757	27.321	29.278	32.745	37.087	34.09	30.303	34.529	37.845	41.678	47.236	53.514	64.424	72.858	81.121	96.75	109.839	109.098	78.609	86.203	102.149	101.054	109.834	120.025	135.869	150.352	170.472	202.8	242.035	211.882	258.647	302.194	318.91	327.869	342.868	301.355	301.255	319.109	358.713	364.684	336.33	380.261	413.067	448.322	482.447	518.075
																																														
Mexico	228.606	293.61	213.077	173.714	204.86	217.388	150.513	165.058	201.926	246.079	290.402	348.139	403.733	500.795	527.811	360.096	410.973	500.416	526.522	600.225	707.909	756.693	772.11	729.335	782.243	877.477	975.383	"1,052.70"	"1,109.99"	900.047	"1,057.80"	"1,180.49"	"1,201.09"	"1,274.44"	"1,315.36"	"1,171.87"	"1,078.49"	"1,158.91"	"1,222.41"	"1,258.21"	"1,040.37"	"1,094.53"	"1,145.64"	"1,197.86"	"1,250.89"	"1,305.73"
																																														
Pakistan	30.938	36.599	40.004	37.35	40.549	40.545	41.522	43.401	49.981	52.11	52.298	59.413	63.563	67.274	67.813	79.25	82.758	81.598	81.224	76.919	79.653	77.644	78.258	89.943	105.562	117.798	137.267	152.398	169.726	167.125	176.738	213.308	223.119	230.644	243.94	270.17	278.023	304.603	313.073	276.114	n/a	n/a	n/a	n/a	n/a	n/a
																																														
South Africa	82.981	85.463	78.415	87.417	77.315	59.102	67.562	88.572	95.207	99.044	115.533	123.964	134.557	134.345	139.804	155.461	147.701	152.611	137.686	136.55	136.453	121.602	115.748	175.254	228.931	257.667	271.812	299.033	287.095	297.221	375.304	416.879	396.332	366.821	350.901	317.578	296.273	349.433	368.135	351.354	282.588	317.191	346.556	363.047	384.853	406.785
																																														
Sri Lanka	5.024	5.228	5.644	6.093	7.142	7.064	7.571	7.884	8.24	8.271	9.468	10.367	11.176	11.948	13.781	14.635	16.051	17.888	18.43	18.532	19.371	18.61	19.585	21.621	23.655	27.945	32.359	37.043	46.602	48.113	56.71	65.267	68.419	74.277	79.312	80.557	82.39	87.422	88.385	83.996	81.12	86.686	93.223	99.922	107.221	115.251
																																														
Thailand	33.422	35.999	37.799	41.366	43.179	40.185	44.52	52.204	63.704	74.637	88.467	101.247	115.576	128.89	146.684	169.279	183.035	150.18	113.676	126.669	126.392	120.297	134.301	152.281	172.895	189.318	221.758	262.943	291.383	281.711	341.105	370.819	397.558	420.334	407.339	401.266	413.489	456.382	506.399	543.564	509.2	536.841	569.38	600.497	633.776	666.422
																																														
Turkey	96.592	97.861	88.915	84.964	82.639	92.823	102.333	118.922	125.027	147.721	207.5	208.395	219.167	248.564	179.352	233.557	250.477	261.848	275.824	256.566	274.321	202.248	240.191	314.752	409.127	506.186	555.126	680.489	770.82	648.797	776.558	838.508	880.141	957.504	938.512	864.071	869.28	858.932	779.599	760.94	649.436	652.408	722.384	810.077	886.225	970.506
																																														
Argentina	172.712	178.194	183.246	197.532	208.754	200.386	219.028	230.12	233.574	225.724	231.04	263.929	297.746	323.854	350.052	347.223	373.122	410.342	430.938	422.36	428.394	418.488	378.796	420.382	470.169	527.728	587.451	657.57	697.557	661.276	736.718	797.264	819.698	849.616	839.897	867.177	885.228	"1,039.33"	"1,036.98"	"1,033.46"	924.539	991.166	"1,034.28"	"1,077.07"	"1,120.91"	"1,162.31"
																																														
Brazil	571.14	597.669	638.377	640.824	699.186	778.287	853.855	906.479	940.926	"1,009.11"	"1,003.24"	"1,047.86"	"1,066.74"	"1,142.96"	"1,229.64"	"1,310.87"	"1,364.36"	"1,435.00"	"1,456.06"	"1,484.00"	"1,583.74"	"1,640.97"	"1,717.83"	"1,769.69"	"1,922.01"	"2,045.34"	"2,190.73"	"2,386.12"	"2,556.45"	"2,572.70"	"2,798.62"	"2,970.63"	"2,998.53"	"3,133.89"	"3,187.16"	"3,014.76"	"2,939.09"	"3,017.72"	"3,130.87"	"3,222.99"	"3,078.90"	"3,235.90"	"3,368.31"	"3,506.02"	"3,651.87"	"3,805.94"
																																														
